listeners,mbid,name,playcount,streamable,url,tags
2399208,5dcdb5eb-cb72-4e6e-9e63-b7bace604965,Bon Jovi,65488615,0,https://www.last.fm/music/Bon+Jovi,"rock, hard rock, classic rock"
2397972,197450cd-0124-4164-b723-3c22dd16494d,Frank Sinatra,67424067,0,https://www.last.fm/music/Frank+Sinatra,"jazz, swing, oldies"
2392701,ceb7b6be-1dbb-4d80-b157-5588bc884764,Slipknot,131607051,0,https://www.last.fm/music/Slipknot,"Nu Metal, metal, heavy metal"
2391990,bf24ca37-25f4-4e34-9aec-460b94364cfc,Shakira,70697570,0,https://www.last.fm/music/Shakira,"pop, latin, female vocalists"
2389143,8f92558c-2baa-4758-8c38-615519e9deda,The Clash,84515812,0,https://www.last.fm/music/The+Clash,"punk, punk rock, british"
2383466,d8354b38-e942-4c89-ba93-29323432abc3,30 Seconds to Mars,116411948,0,https://www.last.fm/music/30+Seconds+to+Mars,"alternative rock, rock, alternative"
2368499,6c8b9855-ba8b-48f9-ac1d-42167f7f7b18,The Shins,88712943,0,https://www.last.fm/music/The+Shins,"indie, indie rock, indie pop"
2366331,8ef1df30-ae4f-4dbd-9351-1a32b208a01e,Alicia Keys,51583322,0,https://www.last.fm/music/Alicia+Keys,"soul, rnb, female vocalists"
2365657,5f6ab597-f57a-40da-be9e-adad48708203,Dr. Dre,39779078,0,https://www.last.fm/music/Dr.+Dre,"Hip-Hop, rap, Gangsta Rap"
2363509,b6b2bb8d-54a9-491f-9607-7b546023b433,Pixies,104188704,0,https://www.last.fm/music/Pixies,"alternative, indie, rock"
2343918,40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27,The Smiths,163135044,0,https://www.last.fm/music/The+Smiths,"indie, 80s, post-punk"
2334742,c33c2065-b1c3-4406-b066-d33a9e2ea71a,OneRepublic,64781070,0,https://www.last.fm/music/OneRepublic,"rock, pop rock, alternative"
2331544,8f9d6bb2-dba4-4cca-9967-cc02b9f4820c,Limp Bizkit,74813604,0,https://www.last.fm/music/Limp+Bizkit,"Nu Metal, rapcore, rock"
2324667,9e0e2b01-41db-4008-bd8b-988977d6019a,The Police,46014561,0,https://www.last.fm/music/The+Police,"rock, classic rock, 80s"
2317872,c98d40fd-f6cf-4b26-883e-eaa515ee2851,The Cranberries,59365360,0,https://www.last.fm/music/The+Cranberries,"rock, alternative, female vocalists"
2305269,20244d07-534f-4eff-b4d4-930878889970,Taylor Swift,204296400,0,https://www.last.fm/music/Taylor+Swift,"country, pop, female vocalists"
2301276,82eb8936-7bf6-4577-8320-a2639465206d,Jason Mraz,62782797,0,https://www.last.fm/music/Jason+Mraz,"singer-songwriter, acoustic, pop"
2297759,c44ff8d1-8c81-45c8-abd6-5feefb07b764,Interpol,122163053,0,https://www.last.fm/music/Interpol,"indie, indie rock, post-punk"
2291922,13655113-cd16-4b43-9dca-cadbbf26ee05,Nelly Furtado,43735115,0,https://www.last.fm/music/Nelly+Furtado,"pop, female vocalists, Canadian"
2291597,9beb62b2-88db-4cea-801e-162cd344ee53,Beastie Boys,75557139,0,https://www.last.fm/music/Beastie+Boys,"Hip-Hop, rap, alternative"
2280251,1946a82a-f927-40c2-8235-38d64f50d043,The Chemical Brothers,61360264,0,https://www.last.fm/music/The+Chemical+Brothers,"electronic, dance, big beat"
2279335,fabb37f8-eb2a-4cc1-a72a-b56935bbb72d,Three Days Grace,84881888,0,https://www.last.fm/music/Three+Days+Grace,"alternative rock, rock, alternative"
2272807,f2eef649-a6d5-4114-afba-e50ab26254d2,Sum 41,89545578,0,https://www.last.fm/music/Sum+41,"punk rock, punk, pop punk"
2268003,b9472588-93f3-4922-a1a2-74082cdf9ce8,Panic! at the Disco,116744143,0,https://www.last.fm/music/Panic%21+at+the+Disco,"rock, alternative, emo"
2261692,80cadd99-f560-41e3-babd-16292bbd248a,Marilyn Manson,124216793,0,https://www.last.fm/music/Marilyn+Manson,"industrial, industrial metal, metal"
2257853,8dd98bdc-80ec-4e93-8509-2f46bafc09a7,Calvin Harris,76322718,0,https://www.last.fm/music/Calvin+Harris,"electronic, dance, electro"
2252713,4a4ee089-93b1-4470-af9a-6ff575d32704,The Prodigy,100849180,0,https://www.last.fm/music/The+Prodigy,"electronic, techno, industrial"
2239789,020bfbb4-05c3-4c86-b372-17825c262094,Audioslave,55685984,0,https://www.last.fm/music/Audioslave,"rock, alternative rock, hard rock"
2236019,af37c51c-0790-4a29-b995-456f98a6b8c9,Vampire Weekend,104038322,0,https://www.last.fm/music/Vampire+Weekend,"indie, indie rock, indie pop"
2230918,f5dfa020-ad69-41cd-b3d4-fd7af0414e94,Wiz Khalifa,45478944,0,https://www.last.fm/music/Wiz+Khalifa,"Hip-Hop, rap, underground hip-hop"
2227738,382f1005-e9ab-4684-afd4-0bdae4ee37f2,2Pac,57882941,0,https://www.last.fm/music/2Pac,"rap, Hip-Hop, Gangsta Rap"
2223930,87c5dedd-371d-4a53-9f7f-80522fb7f3cb,Björk,116003247,0,https://www.last.fm/music/Bj%C3%B6rk,"electronic, alternative, experimental"
2215975,bd13909f-1c29-4c27-a874-d4aaf27c5b1a,Fleetwood Mac,71442831,0,https://www.last.fm/music/Fleetwood+Mac,"classic rock, rock, 70s"
2213203,b7ffd2af-418f-4be2-bdd1-22f8b48613da,Nine Inch Nails,182872104,0,https://www.last.fm/music/Nine+Inch+Nails,"industrial, industrial rock, rock"
2212360,4d5447d7-c61c-4120-ba1b-d7f471d385b9,John Lennon,38083943,0,https://www.last.fm/music/John+Lennon,"classic rock, rock, singer-songwriter"
2209979,d15721d8-56b4-453d-b506-fc915b14cba2,The Black Keys,133326753,0,https://www.last.fm/music/The+Black+Keys,"blues rock, blues, rock"
2205205,70248960-cb53-4ea4-943a-edb18f7d336f,Bruce Springsteen,81246639,0,https://www.last.fm/music/Bruce+Springsteen,"rock, classic rock, singer-songwriter"
2203177,6e0c7c0e-cba5-4c2c-a652-38f71ef5785d,Lily Allen,70115619,0,https://www.last.fm/music/Lily+Allen,"pop, female vocalists, british"
2199368,c1aa2ec9-53e7-4d90-8d36-bac75832e986,Stevie Wonder,42382563,0,https://www.last.fm/music/Stevie+Wonder,"soul, funk, motown"
2193975,2e41ae9c-afd2-4f20-8f1e-17281ce9b472,Gwen Stefani,32155533,0,https://www.last.fm/music/Gwen+Stefani,"pop, female vocalists, dance"
2179462,614e3804-7d34-41ba-857f-811bad7c2b7a,Dire Straits,57196982,0,https://www.last.fm/music/Dire+Straits,"classic rock, rock, 80s"
2178090,2f548675-008d-4332-876c-108b0c7ab9c5,Sia,83342425,0,https://www.last.fm/music/Sia,"female vocalists, chillout, indie"
2174870,ef3f5cea-b32e-4325-b8d4-96ae70a9fc2e,Air,89523902,0,https://www.last.fm/music/Air,"electronic, chillout, ambient"
2174096,4593d49a-7f67-46ba-9ec0-126bd676286f,Flo Rida,32876908,0,https://www.last.fm/music/Flo+Rida,"Hip-Hop, rap, hip hop"
2151153,79491354-3d83-40e3-9d8e-7592d58d790a,Deep Purple,53397645,0,https://www.last.fm/music/Deep+Purple,"hard rock, classic rock, rock"
2140341,f53888c9-8bdc-4cc3-b2ab-ddab6bc5afb7,The Kinks,52077781,0,https://www.last.fm/music/The+Kinks,"classic rock, 60s, rock"
2134397,f0602f55-1770-483d-89bd-4bae0d0ac086,Jennifer Lopez,35564729,0,https://www.last.fm/music/Jennifer+Lopez,"pop, latin, rnb"
2130886,ca891d65-d9b0-4258-89f7-e6ba29d83767,Iron Maiden,170283399,0,https://www.last.fm/music/Iron+Maiden,"heavy metal, metal, NWOBHM"
